"COUNTY","MEDINC","BACHELORS","GRAD","UNEMPRATE","FORBORN","AGE65OVER","WHITE","MALE","MGMTOCC","SALES","CONSTRUCTION","PRODUCTION"
"Anderson County, Texas",45847,11.3045738045738,4.12256662256662,1.40121826989044,6.10528860265552,14.4707080822556,71.2450575824024,61.1875615104373,7.82531473645719,11.0693203782061,12.3857284647129,20.0491041111633
"Andrews County, Texas",75147,14.9305555555556,4.02046783625731,2.70694683317132,13.4086794316124,9.83705491852746,81.2530860810885,49.5967520711033,12.4154262516915,9.60757780784844,17.6026161479477,14.9300857013983
"Angelina County, Texas",49684,18.1838795764944,5.70720901432035,3.8933848095627,8.66630700536048,16.1663930945029,77.4389054052503,48.9135550224406,11.35897084987,9.98768304365677,11.4930888189407,15.3387162994389
"Aransas County, Texas",47924,23.1654595474707,7.43360844421986,4.71642378889326,6.86209744013212,27.0809248554913,87.869529314616,49.5086705202312,17.37870330614,13.1708887934736,11.6680978960927,10.0794332331473
"Archer County, Texas",63958,22.3029715762274,7.89728682170543,2.3268853378189,3.01576422206991,20.2764450536897,94.4596755768791,50.1599268905643,15.888710048287,10.5081627960451,11.2899517130375,14.4171073810071
"Armstrong County, Texas",69386,25.7100149476831,8.37070254110613,0.325945241199478,2.82051282051282,20.9230769230769,91.5897435897436,45.7435897435897,22.2707423580786,4.03930131004367,10.9170305676856,16.8122270742358
"Atascosa County, Texas",59251,15.3129866085332,3.94269697913423,4.05115035899586,7.42917480176914,14.7686974538789,84.7471809379607,50.2111806191975,12.5477578926201,8.19927609089081,19.0629398753268,17.373818620551
"Austin County, Texas",64468,22.9528292635089,6.91870157889575,3.56809503606279,9.50421517462866,19.4700923323966,75.5185333868594,49.8896025692493,17.0194809761587,9.76158660946621,11.7659469723609,16.2599338912722
"Bailey County, Texas",55038,17.3774509803922,5.75980392156863,1.78365937859609,14.7773279352227,13.4181607865818,93.1607865818392,49.9566223250434,9.41176470588235,13.2100840336134,17.9495798319328,17.4453781512605
"Bandera County, Texas",60361,22.4213962545101,7.12444877154802,3.74053274254212,5.59508124725516,27.2112428634168,89.038208168643,49.7452788757137,17.5031632222691,9.36313791649093,14.8987768873893,9.51075495571489
"Bastrop County, Texas",71820,21.5354689471471,6.94483387074162,3.08167099024958,11.4038623199254,14.9690807125831,65.3554278607538,50.7709669618489,14.3968465293549,8.31440728848513,16.3468817709557,13.5379956665884
"Baylor County, Texas",40946,20.9734863474476,3.8781163434903,0.947700947700948,3.67977528089888,24.9719101123595,92.3595505617978,48.2865168539326,15.6716417910448,6.03799185888738,16.5535956580733,9.49796472184532
"Bee County, Texas",45287,10.7846666066769,5.16962116440205,3.49479538536695,3.2567696034837,12.269618816891,80.2263178876997,61.2254285626667,8.58511782536423,8.57533978683876,11.6456438838369,19.0867312017209
"Bell County, Texas",54987,25.3325087915232,8.6516895415486,4.3951231016295,8.11217317964577,10.8628057351701,60.9125667697498,49.7683441102052,11.968746137896,9.13928291885805,9.75790615602214,12.8098265657828
"Bexar County, Texas",58288,28.4700154594805,10.5219760098474,3.67569390700496,13.0236817183522,12.0988909585785,71.5962899213978,49.3879704430809,13.9468855144085,10.752780191044,9.39003702588345,11.2697126540127
"Blanco County, Texas",70397,28.1533804238143,8.82385917703779,2.99667036625971,5.48026932583312,25.6797068098526,85.238216994801,50.5156396488537,14.2757660167131,16.1037604456825,15.4596100278552,8.46100278551532
"Borden County, Texas",83281,45.1612903225806,8.98617511520737,2.84463894967177,0.459418070444104,28.7901990811639,94.9464012251149,47.3200612557427,36,1.77777777777778,12.4444444444444,5.77777777777778
"Bosque County, Texas",57337,18.5280338521989,5.53876379023727,2.31144365021043,6.98393748643369,24.9511612763186,90.6392446277404,49.15888864771,14.6328918606146,9.20663494920921,13.6685097081137,14.8257682911148
"Bowie County, Texas",51796,21.8875344081793,7.65395202516713,2.59263772118652,4.17743692721796,16.7001345837517,68.122877101536,50.4699750058747,10.5681188484577,10.797688471383,10.0509275140512,15.9194659207853
"Brazoria County, Texas",83325,31.0866957492643,11.1608273182718,3.03018500486855,12.9510788943167,11.8240948535844,67.7173954388119,50.5276284973727,17.3654232223727,8.65703347495215,11.4308557822494,12.1550959428545
